stop,degree,clusterring_coefficient,closeness,betwennesses,page_rank
8 Maja,7,0.0,0.06222062004325883,0.037743692117965834,0.001982108137100443
Godebskiego (AWF Wrocław),4,0.0,0.058839571827913,0.03388322453200738,0.0011063334339077337
Park Szczytnicki,4,0.0,0.06369003690036901,0.024163648378694794,0.0010807682303792365
Stadion Olimpijski,6,0.0,0.06327907317788532,0.007930415329728605,0.0015447654089295148
Adamczewskich,5,0.125,0.03951827090392893,0.03637188876005344,0.0013604115338825074
Jasińskiej,4,0.0,0.04076330829908838,0.038006961573272414,0.0010963085719002813
Kośnego,5,0.125,0.03804108260601252,0.026540642133115046,0.001157303842144428
Adamieckiego,5,0.25,0.06043417366946779,0.01357249568476974,0.001157204471682739
Morelowskiego,4,0.0,0.05723950388008225,0.011447227169661595,0.001140931898423161
Wiejska,10,0.1,0.06411589895988112,0.044584929770480404,0.0019414429656618433
Aleja Architektów,4,0.0,0.05211037980798261,0.15565751038484488,0.001051009475993407
Glinianki,4,0.0,0.053950987746936734,0.1571810003598327,0.0010412404924009472
Grabowa,4,0.0,0.05046488509443892,0.1542054900130954,0.001023226248498567
Aleja Pracy,6,0.0,0.06859004927674456,0.07483143561986143,0.00121536651636403
FAT,18,0.07142857142857142,0.06803847366761274,0.12804653386951284,0.0030750505085225927
Inżynierska,6,0.3333333333333333,0.06721183800623053,0.015746356870597042,0.0012120845533805508
Ojca Beyzyma,8,0.0,0.06928944199116821,0.06387263830154535,0.0019195765249211386
Aleja Wędrowców,4,0.0,0.064823856380981,0.004629617182816109,0.001108754931968732
Ślusarska,4,0.0,0.06089042545685458,0.0023174971031286215,0.001240550139557363
Arabska,4,0.0,0.040061275647572184,0.002317497103128621,0.0013142111548494798
BIEŃKOWICE,2,0.0,0.03851990715943582,0.0,0.0007321508519221401
Ziemniaczana,4,0.0,0.041727105695774105,0.0046296171828161085,0.0012194631049518843
Arachidowa,4,0.0,0.0407825717121119,0.0029050009968114663,0.0010046716784683394
Olbrachtowska,4,0.0,0.04194410692588092,0.0045084741954862124,0.00105900258737922
Wojanowska,6,0.3333333333333333,0.03978792070078377,0.001538936567390407,0.001344651062544915
Arena,2,0.5,0.06377475613360922,9.564380445916555e-05,0.0004729902568005116
EPI,13,0.16891891891891891,0.07249663978494623,0.01581955009108256,0.0019077299547671674
Arkady (Capitol),19,0.11212121212121212,0.07623674911660777,0.07565256966038501,0.0019400852392397294
DWORCOWA,9,0.2222222222222222,0.07642578816861495,0.013889030168133252,0.000959972346246762
GALERIA DOMINIKAŃSKA,25,0.11632653061224489,0.08097963779675331,0.2579630219486662,0.0027146519479229734
Hallera,21,0.09405940594059406,0.07541728567683299,0.1871110438532403,0.0029422135419879965
Pl. Hirszfelda,6,0.0,0.07150550998425718,0.005689409914325656,0.0009195835219978268
Renoma,10,0.23255813953488372,0.07757303370786517,0.018643801284036983,0.0010931271390425185
Rondo,14,0.14285714285714285,0.07288851351351351,0.02495340461798889,0.001950728470943521
Zaolziańska,6,0.3333333333333333,0.07117525773195876,0.0006979289466792439,0.0008734189794923071
pl. Legionów,11,0.14,0.07550966838743547,0.053120376260028544,0.001991813230067053
pl. Orląt Lwowskich,8,0.19230769230769232,0.08004823300250441,0.060709492319246654,0.001792124023522599
Świdnicka,12,0.21428571428571427,0.08014487369985142,0.07366470554775632,0.001441726100023709
Armii Krajowej,4,1.0,0.057506496968081564,0.0,0.0008329407401716531
KRAKOWSKA (Centrum handlowe),6,0.3333333333333333,0.060731878958479944,0.05564687030568215,0.0011971224946358524
Park Wschodni,8,0.16666666666666666,0.05777986073915372,0.05328217348220567,0.0015065643399861215
Armii Krajowej (Bogedaina),4,0.0,0.05497165424549334,0.0026780053734654667,0.0007358682042663345
Transbud,7,0.1111111111111111,0.053058715032277895,0.006045747303765278,0.001139351392509046
Awicenny,3,0.3333333333333333,0.054551201011378,0.0035393104581953705,0.001267503153900051
Awicenny (Stacja kolejowa),5,0.2777777777777778,0.05316658452439625,0.0014940849114790462,0.0014208630578738234
Jordanowska,9,0.07352941176470588,0.06074897930451922,0.02117629505956767,0.0023974301380627187
POCZTA POLSKA,3,0.3333333333333333,0.05769102212714754,0.0035393104581953713,0.0012869318150458115
Stanisławowska (W.K. Formaty),6,0.16666666666666666,0.05344977084107519,0.005519421744657191,0.0015426053376603871
Azaliowa,4,0.0,0.052731272149578394,0.029280446723107485,0.001177715848239763
Pawłowice,2,0.0,0.050101596516690855,0.013279231515809791,0.0006741403466130099
Przedwiośnie (Stacja kolejowa),8,0.16666666666666666,0.05553053214078888,0.13879148950179426,0.0017988060340677016
BARDZKA (Cmentarz),5,0.125,0.05090844738084002,0.02954216337466599,0.0008947837924091016
Buforowa-Rondo,5,0.125,0.048551336146272855,0.02746965690207402,0.0010265390154401356
GAJ - pętla,7,0.325,0.056144688048923294,0.013433056545522938,0.0019339618217765237
Morwowa,8,0.18,0.05351937984496124,0.028299520301911654,0.0020250351070899724
BARTOSZOWICE,4,0.0,0.049464091247778987,0.00020197444300758434,0.0009358063244608558
BISKUPIN,4,0.0,0.05056245605812046,0.0008274421396059186,0.0009432440293211617
Bacciarellego,6,0.3333333333333333,0.05201928872814949,0.0016866523830891516,0.0012752347090173577
BIERUTOWSKA (Ośrodek zdrowia),3,1.0,0.057637080077472785,0.0,0.000509111475905566
Dobroszycka,5,0.25,0.05786121354341267,0.0413745150596984,0.0012323280448630794
PSIE POLE (Stacja kolejowa),8,0.08333333333333333,0.06115796187371554,0.08272417603119331,0.001578825246091549
BIERUTOWSKA (Wiadukt),4,0.0,0.05024160214239972,0.03534351114253682,0.0011406534800205265
Bierutowska 75,4,0.0,0.05246200607902735,0.037289321500297075,0.001165233031817484
Mirków - Sportowa,4,0.0,0.048268918843335756,0.03349914729369929,0.0011101607773811423
Spółdzielcza,6,0.0,0.05324202603491887,0.003095089754582368,0.001312641989344192
BLACHARSKA,2,0.0,0.057399401396740934,0.0,0.0007008449204229905
BLIZANOWICE,2,0.0,0.03633684210526316,0.0,0.0007430712776914786
TRESTNO (pętla),4,0.0,0.03770534778049633,0.002317497103128621,0.0013399062743067482
BROCHÓW,4,0.0,0.04353309120258273,0.0069363602390624625,0.0011466170659523408
Chińska,6,0.038461538461538464,0.04549768030366934,0.01385660897406778,0.0016049440067176896
BROCHÓW (Stacja kolejowa),4,0.0,0.047558690620522426,0.01573271006364477,0.0010403456665013674
Topolowa,4,0.0,0.04981528515354421,0.017950060105182273,0.000969412753302538
BRZEZINA (pętla),2,0.0,0.03089203894616266,0.0,0.0006387639544537631
Brzezina - Kościół,6,0.0,0.031875600206840514,0.012653997403636333,0.0016417159176799461
Libelta,6,0.3333333333333333,0.05295453150886666,0.0030633674435132643,0.0012545131475022683
Monte Cassino,8,0.16666666666666666,0.0540320560981718,0.0040440273929206365,0.0016398142033791606
Bagatela,4,0.0,0.04561310782241015,0.002317497103128621,0.0013011674965565988
Redycka,4,0.0,0.04778516057585825,0.0046296171828161085,0.0011998592538116977
SOŁTYSOWICE,2,0.0,0.04362551814781114,0.0,0.0007266072971476651
Bajana,5,0.375,0.06306635486699795,0.12646435304540712,0.0011394592459045563
Metalowców,10,0.05,0.0610627609141725,0.1809350855376052,0.0020722416701296504
Park Zachodni,5,0.125,0.0653738353155064,0.1730618467059057,0.000988548207105707
Bardzka,9,0.0625,0.05875944713011507,0.02289896876313869,0.0017646461492186087
Kamienna,6,0.038461538461538464,0.06159446149454,0.022049377384804662,0.0013103128902579812
Krynicka,5,0.125,0.055706170926930025,0.011535812033424332,0.000978918378076684
Nyska,4,0.5,0.05567382749500032,0.0021816413890521705,0.0007907105887282372
Orzechowa,4,0.0,0.05882753919563736,0.0032612365345598597,0.000857071390498045
Bałtycka,10,0.24390243902439024,0.0678512461671515,0.04664999841929096,0.0014742209515194024
Bezpieczna,5,0.0,0.06584267948424506,0.0200277989705975,0.0009631225780615802
Broniewskiego,10,0.1,0.06714908185496421,0.04909719643995157,0.001937041856987339
Kamieńskiego,11,0.28125,0.06520589346429921,0.0335816330159191,0.002502830246775569
Kleczkowska,6,0.3333333333333333,0.06950708762886598,0.026685944706019184,0.0009803727303386808
Mochnackiego,6,0.3076923076923077,0.06395435008151772,0.0031992509409879194,0.0016187995164367729
most Osobowicki,8,0.3333333333333333,0.06699270299642912,0.01881545679928167,0.0012614555725771197
Berenta,5,0.25,0.07084804203267384,0.05817871332384195,0.000905914236875555
KROMERA,17,0.11224489795918367,0.07517421602787457,0.33826584398391923,0.0030924764934282425
Kasprowicza,8,0.16666666666666666,0.0670343327637098,0.050695354716462276,0.001899894109824442
pl. Daniłowskiego,5,0.2222222222222222,0.06669242658423494,0.020813561570054998,0.0016013167452811417
Paprotna,8,0.28,0.06491162091011658,0.026133444982916337,0.0012012243347452737
Różanka,4,0.0,0.06320029293299158,0.0006199541114975818,0.0008857773221455459
Białków,4,0.0,0.03100747341189997,0.00765995076438869,0.0010124419096043406
Klęka,6,0.0,0.03194285079764592,0.025517717740323815,0.00135004323543805
Księginice - skrzyż. Warzyna,4,0.0,0.030128473676860775,0.005492786274968433,0.0010736907022410559
Białych Goździków,4,0.0,0.04910663480141118,0.002317497103128621,0.0012978859565459645
KŁOKOCZYCE,2,0.0,0.04681058798003905,0.0,0.0007252126426431462
ROD Pod Dębem,4,0.0,0.05163336125403853,0.0046296171828161085,0.0011949272922074808
Bielany Wrocławskie - Boczna,6,0.0,0.05576016023777218,0.011299501101841719,0.0014843954444216717
Bielany Wrocławskie - Kościół,4,0.0,0.0589803171131766,0.013544408388515035,0.0009576572280679994
Bielany Wrocławskie - Kwiatowa,4,0.0,0.05281840993940878,0.0,0.001033373600632901
Bielany Wrocławskie - skrzyżowanie,4,0.0,0.05287990196078431,0.006741129479620634,0.0010931676026180682
Bielany Wrocławskie - Makro,4,0.0,0.06260882182240278,0.015824266327555722,0.0008552174298919554
Partynice,12,0.06666666666666667,0.066713048855906,0.07010835460538774,0.0019383670366019624
Bielany Wrocławskie - PKP,4,0.0,0.05032656869605785,0.004513697519131001,0.0011740653700097663
Ślęza - skrzyżowanie,4,0.0,0.048053900551255635,0.0024304145953924286,0.0012608424183199443
Bielawa,4,0.0,0.039120580235720764,0.017979332514233427,0.0010294245385696528
Piecowice,6,0.0,0.04065576859659867,0.03796146494854399,0.0017643299833290666
Raków - osiedle,5,0.125,0.03771029058335154,0.01592665381558064,0.0012561879959363748
Bierdzany,4,0.0,0.056701708278580815,0.022933004976435193,0.0010126316287339572
Międzyrzecka,6,0.3333333333333333,0.06002225622478787,0.02519673184515248,0.0013442880490553714
Nowy Dom,4,0.0,0.05372260956175299,0.02066390108427678,0.0010779738911148816
