stop,day_degree,day_clusterring_coefficient,day_closeness,day_betwennesses,day_page_rank,day_weighted_degree,stop,night_degree,night_clusterring_coefficient,night_closeness,night_betwennesses,night_page_rank,night_weighted_degree,stop,night_bus_degree,night_bus_clusterring_coefficient,night_bus_closeness,night_bus_betwennesses,night_bus_page_rank,night_bus_weighted_degree,stop,day_tram_degree,day_tram_clusterring_coefficient,day_tram_closeness,day_tram_betwennesses,day_tram_page_rank,day_tram_weighted_degree,stop,day_bus_degree,day_bus_clusterring_coefficient,day_bus_closeness,day_bus_betwennesses,day_bus_page_rank,day_bus_weighted_degree,stop,night_tram_degree,night_tram_clusterring_coefficient,night_tram_closeness,night_tram_betwennesses,night_tram_page_rank,night_tram_weighted_degree
8 Maja,3,0.0,0.06383136643657686,0.03679688608765783,0.00174929183934807,1100.4375,8 Maja,3,0.0,0.06383136643657686,0.03679688608765783,0.0017620739495642379,311.625,8 Maja,3,0.0,0.06383136643657686,0.03679688608765783,0.0013092028072654504,92.875,8 Maja,3,0.0,0.06383136643657686,0.03679688608765783,0.004048817819626785,,8 Maja,3,0.0,0.06383136643657686,0.03679688608765783,0.001056519997184602,,8 Maja,3,0.0,0.06383136643657686,0.03679688608765783,0.0040439804329773605,
Godebskiego (AWF Wrocław),2,0.0,0.060283190803308566,0.03406658404183204,0.0019142077167788245,1098.5625,Godebskiego (AWF Wrocław),2,0.0,0.060283190803308566,0.03406658404183204,0.001745281430600311,297.875,Godebskiego (AWF Wrocław),2,0.0,0.060283190803308566,0.03406658404183204,0.001108827911233128,86.25,Godebskiego (AWF Wrocław),2,0.0,0.060283190803308566,0.03406658404183204,0.004308258124184395,859.9375,Godebskiego (AWF Wrocław),2,0.0,0.060283190803308566,0.03406658404183204,0.0010426613212577442,238.625,Godebskiego (AWF Wrocław),2,0.0,0.060283190803308566,0.03406658404183204,0.0042065254279558505,211.625
Park Szczytnicki,2,0.0,0.0655437847725021,0.032806089078243374,0.0005531900719853084,244.0625,Park Szczytnicki,2,0.0,0.0655437847725021,0.032806089078243374,0.000519201064825574,58.0,Park Szczytnicki,2,0.0,0.0655437847725021,0.032806089078243374,0.0008349688723992096,58.0,Park Szczytnicki,2,0.0,0.0655437847725021,0.032806089078243374,0.0005533013648098922,,Park Szczytnicki,2,0.0,0.0655437847725021,0.032806089078243374,0.0009873620147094393,244.0625,Park Szczytnicki,2,0.0,0.0655437847725021,0.032806089078243374,0.0005550416281220284,
Stadion Olimpijski,3,0.0,0.06489096808269826,0.006362538082051779,0.0012272683405693762,854.4375,Stadion Olimpijski,3,0.0,0.06489096808269826,0.006362538082051779,0.0013983518720025736,257.5,Stadion Olimpijski,3,0.0,0.06489096808269826,0.006362538082051779,0.0005992978592954254,,Stadion Olimpijski,3,0.0,0.06489096808269826,0.006362538082051779,0.003923136829912399,,Stadion Olimpijski,3,0.0,0.06489096808269826,0.006362538082051779,0.0001844111138431298,,Stadion Olimpijski,3,0.0,0.06489096808269826,0.006362538082051779,0.0039532451341005095,
Adamczewskich,3,0.3333333333333333,0.042331167552667845,0.036409954866844195,0.001236727264035243,189.0,Adamczewskich,3,0.3333333333333333,0.042331167552667845,0.036409954866844195,0.0013522711005907052,96.25,Adamczewskich,3,0.3333333333333333,0.042331167552667845,0.036409954866844195,0.0013837656852326325,96.25,Adamczewskich,3,0.3333333333333333,0.042331167552667845,0.036409954866844195,0.0005533013648098603,,Adamczewskich,3,0.3333333333333333,0.042331167552667845,0.036409954866844195,0.0013068103822779864,189.0,Adamczewskich,3,0.3333333333333333,0.042331167552667845,0.036409954866844195,0.0005550416281221346,
Jasińskiej,3,0.0,0.04365482233502538,0.03810834221106094,0.0013133433688173306,283.5,Jasińskiej,3,0.0,0.04365482233502538,0.03810834221106094,0.0015727806091603473,144.375,Jasińskiej,3,0.0,0.04365482233502538,0.03810834221106094,0.001610063384008314,144.375,Jasińskiej,3,0.0,0.04365482233502538,0.03810834221106094,0.000553301364810076,,Jasińskiej,3,0.0,0.04365482233502538,0.03810834221106094,0.0013880431460180922,283.5,Jasińskiej,3,0.0,0.04365482233502538,0.03810834221106094,0.0005550416281220066,
Kośnego,3,0.3333333333333333,0.04086675536970158,0.0161653626445028,0.0013728708031122319,173.8125,Kośnego,3,0.3333333333333333,0.04086675536970158,0.0161653626445028,0.0015353097394334618,90.75,Kośnego,3,0.3333333333333333,0.04086675536970158,0.0161653626445028,0.0015707682162177763,90.75,Kośnego,3,0.3333333333333333,0.04086675536970158,0.0161653626445028,0.0005533013648100276,,Kośnego,3,0.3333333333333333,0.04086675536970158,0.0161653626445028,0.0014505394275301194,173.8125,Kośnego,3,0.3333333333333333,0.04086675536970158,0.0161653626445028,0.0005550416281222658,
Adamieckiego,3,0.3333333333333333,0.06462763958818667,0.01335419718815343,0.000702048477412074,169.375,Adamieckiego,3,0.3333333333333333,0.06462763958818667,0.01335419718815343,0.0006475524590146912,47.375,Adamieckiego,3,0.3333333333333333,0.06462763958818667,0.01335419718815343,0.0006854603085364304,,Adamieckiego,3,0.3333333333333333,0.06462763958818667,0.01335419718815343,0.0005533013648100166,,Adamieckiego,3,0.3333333333333333,0.06462763958818667,0.01335419718815343,0.0007707742372589128,169.375,Adamieckiego,3,0.3333333333333333,0.06462763958818667,0.01335419718815343,0.0005550416281221299,
Morelowskiego,2,0.0,0.06101887327940968,0.01122624960172245,0.0007412858540359912,169.375,Morelowskiego,2,0.0,0.06101887327940968,0.01122624960172245,0.0007052526821290628,47.375,Morelowskiego,2,0.0,0.06101887327940968,0.01122624960172245,0.0007387818625875053,47.375,Morelowskiego,2,0.0,0.06101887327940968,0.01122624960172245,0.0005533013648100233,,Morelowskiego,2,0.0,0.06101887327940968,0.01122624960172245,0.0008012009337057716,169.375,Morelowskiego,2,0.0,0.06101887327940968,0.01122624960172245,0.0005550416281220998,
Wiejska,5,0.2,0.0688550840672538,0.04235924994588465,0.0018837509066793703,641.125,Wiejska,5,0.2,0.0688550840672538,0.04235924994588465,0.0018231226682319907,210.625,Wiejska,5,0.2,0.0688550840672538,0.04235924994588465,0.0020253999414751333,210.625,Wiejska,5,0.2,0.0688550840672538,0.04235924994588465,0.0005533013648100224,,Wiejska,5,0.2,0.0688550840672538,0.04235924994588465,0.0021831334690234658,641.125,Wiejska,5,0.2,0.0688550840672538,0.04235924994588465,0.0005550416281221135,
Aleja Architektów,2,0.0,0.057344802293792095,0.15726021551596495,0.0011760699885733149,765.125,Aleja Architektów,2,0.0,0.057344802293792095,0.15726021551596495,0.0012850380707478829,310.5,Aleja Architektów,2,0.0,0.057344802293792095,0.15726021551596495,0.001015424298460216,71.25,Aleja Architektów,2,0.0,0.057344802293792095,0.15726021551596495,0.003531015357420673,765.125,Aleja Architektów,2,0.0,0.057344802293792095,0.15726021551596495,0.00018441111384312784,,Aleja Architektów,2,0.0,0.057344802293792095,0.15726021551596495,0.0035912985667262,239.25
