source,target,night_tram,night_bus,d .875
Arkady (Capitol),DWORZEC AUTOBUSOWY,174.125,,,394.25,174.125,394.25
Arkady (Capitol),DWORZEC GŁÓWNY,111.5,,,381.3125,111.5,381.3125
Arkady (Capitol),EPI,,149.125,,,149.125,0.0
Arkady (Capitol),GALERIA DOMINIKAŃSKA,,17.125,118.625,,17.125,118.625
Arkady (Capitol),Hallera,,,5.5,,0.0,5.5
Arkady (Capitol),Pl. Hirszfelda,,24.75,98.3125,,24.75,98.3125
Arkady (Capitol),Renoma,141.25,140.25,,378.6875,281.5,378.6875
Arkady (Capitol),Rondo,,30.375,120.5625,,30.375,120.5625
Arkady (Capitol),Zaolziańska,239.5,,,673.75,239.5,673.75
Arkady (Capitol),pl. Legionów,234.625,65.875,,498.8125,300.5,498.8125
Arkady (Capitol),Świdnicka,,,6.0625,,0.0,6.0625
Armii Krajowej,KRAKOWSKA (Centrum handlowe),74.625,23.25,,252.5625,97.875,252.5625
Armii Krajowej,Park Wschodni,79.0,23.25,,250.375,102.25,250.375
Armii Krajowej (Bogedaina),Park Wschodni,,29.25,67.0,,29.25,67.0
Armii Krajowej (Bogedaina),Transbud,,33.625,67.8125,,33.625,67.8125
Awicenny,Awicenny (Stacja kolejowa),,28.125,87.9375,,28.125,87.9375
Awicenny,Jordanowska,,11.625,24.5625,,11.625,24.5625
Awicenny (Stacja kolejowa),POCZTA POLSKA,,27.0,88.5,,27.0,88.5
Awicenny (Stacja kolejowa),Stanisławowska (W.K. Formaty),,28.125,87.9375,,28.125,87.9375
Azaliowa,Pawłowice,,64.625,97.75,,64.625,97.75
Azaliowa,Przedwiośnie (Stacja kolejowa),,59.125,101.875,,59.125,101.875
BARDZKA (Cmentarz),Buforowa-Rondo,,91.5,318.0,,91.5,318.0
BARDZKA (Cmentarz),GAJ - pętla,,42.0,95.8125,,42.0,95.8125
BARDZKA (Cmentarz),Morwowa,,37.5,218.3125,,37.5,218.3125
BARTOSZOWICE,BISKUPIN,,23.25,,,23.25,0.0
BARTOSZOWICE,Bacciarellego,,25.5,82.625,,25.5,82.625
BIERUTOWSKA (Ośrodek zdrowia),Dobroszycka,,2.75,37.125,,2.75,37.125
BIERUTOWSKA (Ośrodek zdrowia),PSIE POLE (Stacja kolejowa),,2.75,37.125,,2.75,37.125
BIERUTOWSKA (Wiadukt),Bierutowska 75,,17.625,57.25,,17.625,57.25
BIERUTOWSKA (Wiadukt),Mirków - Sportowa,,9.375,61.625,,9.375,61.625
BIEŃKOWICE,Arabska,,43.125,81.25,,43.125,81.25
BISKUPIN,BARTOSZOWICE,,15.5,,,15.5,0.0
BISKUPIN,Spółdzielcza,150.25,23.25,,505.5,173.5,505.5
BLACHARSKA,Ślusarska,,21.5,64.75,,21.5,64.75
BLIZANOWICE,TRESTNO (pętla),,2.75,5.5,,2.75,5.5
BROCHÓW,Chińska,,90.0,264.1875,,90.0,264.1875
BROCHÓW,Ziemniaczana,,47.0,86.75,,47.0,86.75
