stop,lattitude,longitude
Lubelska,51.16391631,16.91914727
KRZYKI,51.07438486,17.00669989
Rynek,51.111912,17.027184
Zbożowa,51.17352979,16.91215216
Na Niskich Łąkach,51.0962677,17.05654907
Damrota,51.12648854,17.0548761
Krępicka - szkoła,51.15001334,16.86044907
pl. Bema,51.116691,17.041769
Marszowicka,51.16316762,16.87851059
Główna,51.16290437,16.89572296
EPI,51.09818473,17.030473
Działdowska,51.13315884,17.10579419
JANÓWEK (WOŚ),51.19115066,16.90616607
C.H. Korona,51.14212427,17.09270855
pl. Wróblewskiego,51.10422376,17.04834926
Volvo,51.120192,17.114745
Szczodre - Szkoła,51.19811274,17.18961079
Wełniana,51.16084087,16.90522914
Krynicka,51.07940741,17.05034902
GRABISZYŃSKA (Cmentarz),51.0896217,16.97666221
Małopanewska,51.12390236,16.98681381
Bajana,51.13048304,16.9669594
Blizanowicka,51.07588443,17.09276207
Wiejska,51.07742462,16.96217924
Północna,51.15703175,16.93446028
Królewiecka,51.14526428,16.94642908
Pustecka,51.13996335,16.85391538
GALERIA DOMINIKAŃSKA,51.1089984,17.04117731
Wiśniowa,51.08354909,17.02641602
Kozia,51.15768909,16.92766461
Skarbowców,51.06699853,16.99127638
Pracze Widawskie,51.17767648,17.01559687
Kępa,51.23861834,17.20921822
Bierzyce,51.23578317,17.18376696
Budziwojowice,51.22308972,17.18798137
Długołęka - Kościół,51.17287543,17.19360514
Bielawa,51.15998678,17.25234579
Borowa - szkoła,51.18917012,17.27915873
Świt,51.06047976,17.02571856
SPISKA (Ośrodek sportu),51.08314553,17.03110581
Turoszowska,51.15305206,16.94763156
Wilkszyn - Polna,51.1886197,16.8665259
Wilkszyńska,51.17354367,16.88667266
Brzezińska,51.14965084,16.86671724
Dworska,51.14360639,16.95344812
Las Ratyński,51.12327482,16.83302337
Graniczna,51.10871787,16.90920429
METALOWCÓW (Ośrodek sportu),51.12958939,16.95495766
Metalowców,51.1324312,16.95777519
Górnicza,51.13990212,16.95941433
Wiślańska,51.13638789,16.97890749
DH Astra,51.12842183,16.97567097
Kwiska,51.125275,16.98351443
Niedźwiedzia,51.12169768,16.99334357
Młodych Techników,51.11303378,17.01259791
Muchobór Wielki,51.09892535,16.94155277
Modra,51.13773561,16.9648839
FAT,51.09462771,16.98126206
KLECINA (Stacja kolejowa),51.05816,16.987911
pl. Legionów,51.10416471,17.02010903
Żelazna,51.09612796,17.01249649
Mielecka,51.08952198,16.99968964
Gajowicka,51.08844534,17.00546435
Jaworowa,51.0817118,17.02315206
OSOBOWICE,51.13747777,16.99365991
OSOBOWICKA (Cmentarz II),51.13453676,17.01095511
Łużycka,51.13623008,17.0164017
most Osobowicki,51.13315338,17.02642077
Bezpieczna,51.14300155,17.02524948
Bałtycka,51.1375866,17.03060944
OSOBOWICE (Stacja kolejowa),51.16545752,16.99899845
Polanowicka,51.17006287,17.02366992
Szymanów - skrzyż.,51.18840693,17.0306521
Mochnackiego,51.14228775,17.03675168
Szkocka,51.11014182,16.9688408
PL. STASZICA,51.12214228,17.03076658
Dubois,51.11694924,17.03421196
Ogród Botaniczny,51.11715674,17.05147222
Piastowska,51.11578475,17.06018899
Mickiewicza,51.10927179,17.07474936
Czajkowskiego,51.13916433,17.06510721
Koszarowa,51.14030866,17.07010305
Poprzeczna,51.1466086,17.07419874
Brücknera,51.13916827,17.08080603
Tczewska,51.13146458,17.11117001
Zgorzelisko,51.13837255,17.13131986
Mroźna,51.13492443,17.13790104
BIERUTOWSKA (Wiadukt),51.1581934,17.14654658
Szczodre - Trzebnicka,51.19036161,17.18419442
Szczodre - stawy,51.204468,17.20535345
KOZANÓW,51.13747754,16.96830831
Dąbrowica,51.21748827,17.21682474
Park Szczytnicki,51.11154666,17.08302653
Chełmońskiego,51.10365181,17.09094842
Piramowicza,51.10298927,17.09696465
Kmieca,51.1052327,17.14574034
Niedziałkowskiego,51.109811,17.137981
Ostrowskiego,51.0957226,16.97284737
Przystankowa,51.07152509,17.03257553
Gałczyńskiego,51.05428456,17.03224953
Kamienna,51.08499038,17.047973
Dzielna,51.13863431,16.97689014
Armii Krajowej,51.08783364,17.06830653
Poleska,51.14653016,17.12905109
BISKUPIN,51.10098894,17.10878688
Uniwersytet Ekonomiczny,51.08976803,17.02673179
Urząd Wojewódzki,51.10852219,17.05022
Stadion Olimpijski,51.11682539,17.09007458
Wrocławski Park Technologiczny,51.10506383,16.97074816
Katedra,51.11419938,17.05079812
Białych Goździków,51.15680321,17.10094742
KROMERA,51.13222406,17.06514893
TARNOGAJ,51.07779233,17.06466995
Kolista,51.13273709,16.97388104
Wschowska,51.14486325,16.88184695
PILCZYCE,51.13642902,16.95050781
Bierutowska,51.15378722,17.13636151
Żmudzka,51.145458,17.142077
Przyjaźni,51.06973483,17.00400882
Marchewkowa,51.06643762,16.97413031
Szybowcowa,51.12938773,16.96521794
Jastrzębia,51.08463583,17.01120749
Sztabowa,51.08806244,17.0143858
Spółdzielcza,51.10266017,17.10242505
Monte Cassino,51.10569558,17.10504999
most Grunwaldzki,51.11013327,17.0555734
Dmowskiego,51.11698989,17.02566254
Radio i Telewizja,51.07185782,17.00601881
Zimowa,51.07064583,16.99875648
Moniuszki,51.11949071,17.08279214
Kątna,51.13267147,17.28352374
Mosty Warszawskie,51.12838294,17.0538428
Gądowianka,51.12016721,16.97302313
Na Ostatnim Groszu,51.12255316,16.97483996
Nowowiejska,51.1242394,17.04498789
Daszyńskiego,51.12631807,17.04775741
Sołtysowicka,51.14245178,17.07091309
Grabowa,51.13978497,16.92227466
Pl. SOLIDARNOŚCI,51.11370605,17.01752428
Hala Orbita,51.1323514,16.9894391
Marcepanowa,51.06175789,16.9758113
Wilczyce - Sosnowa,51.13149048,17.16806867
Owczarska,51.15171395,16.86468371
Brodzka,51.15757459,16.92406355
Glinianki,51.13811947,16.93628352
Aleja Pracy,51.09138458,16.98670185
Bociania,51.12973225,17.09805406
Braterska,51.06761646,16.999554
Broniewskiego,51.1353023,17.03633491
Bujwida,51.11336316,17.06690582
Złotnicka,51.14410083,16.88886439
Chopina,51.11673691,17.08162462
DWORZEC NADODRZE,51.1242294,17.03500925
DWORZEC AUTOBUSOWY,51.09712267,17.03264418
Fiołkowa,51.09210593,16.97749101
Średzka,51.14535622,16.86660794
Gęsia,51.13184923,17.08816611
Górnickiego,51.11625309,17.05491953
Grabiszyńska,51.10209878,17.01244095
Grunwaldzka,51.1150209,17.0677333
GRABISZYNEK,51.09066947,16.98893291
Hala Stulecia,51.10689468,17.07372026
Hala Targowa,51.11266094,17.03941049
TRZMIELOWICKA (Stacja kolejowa),51.14275073,16.86252125
Hutmen,51.09589673,16.98576959
Sąsiedzka,51.06674373,16.99465411
Jedności Narodowej,51.1215486,17.04345675
Jeleniogórska,51.14519161,16.87842822
Joannitów,51.09337724,17.03611766
Oławska,51.10863478,17.03398723
Trzmielowicka,51.14095766,16.85460787
Kamieńskiego,51.14074745,17.03213386
Karłowicza,51.11691447,17.08605899
Karwińska,51.08194356,17.07696045
Kępińska,51.1442051,17.03107522
Kętrzyńska,51.13087796,17.07448225
Kleczkowska,51.12728381,17.02758415
Miodowa,51.13514825,16.84874161
Klimasa,51.08000344,17.06255176
Kliniki,51.10920637,17.06641438
KLECINA,51.06566863,16.98735013
Komuny Paryskiej,51.10172598,17.04611604
Kopernika,51.11199113,17.08484451
Kościuszki,51.1001978,17.04528826
KOWALE,51.12781419,17.10219214
KSIĘŻE MAŁE,51.07727819,17.0840056
Kwidzyńska,51.13161876,17.07947189
Szkolna,51.13160819,16.84817259
LEŚNICA,51.14465236,16.87170532
Na Szańcach,51.11940016,17.04201805
Uniwersytecka,51.11263202,17.03585352
Nyska,51.08299211,17.0546832
RATYŃ,51.12975964,16.86048724
Ojca Beyzyma,51.090369,16.99331873
Opera,51.10563587,17.03185662
Orla,51.08010376,17.00802948
Gromadzka,51.12924425,16.85387079
pl. Zgody,51.10060371,17.05331733
Park Wschodni,51.08488586,17.07219405
Park Zachodni,51.12932561,16.97212112
Paulińska,51.12097128,17.03500554
Renoma,51.10374952,17.03063782
Pereca,51.1010779,17.00743968
PL. JANA PAWŁA II,51.11213444,17.02222942
Pomorska,51.11789231,17.03100195
Prudnicka,51.08920284,17.04505116
Kośnego,51.1207106,16.86401211
Prusa,51.11984446,17.05636847
Pułaskiego,51.09819425,17.04302503
Reja,51.11278613,17.05556464
Rondo,51.09069023,17.01712401
Sanocka,51.09328159,17.03023264
Słowiańska,51.1234541,17.04047812
Stalowa,51.09966578,17.00165187
Świdnicka,51.10744994,17.03195223
Tramwajowa,51.10432787,17.08421204
Transbud,51.08367681,17.0602039
Trzebnicka,51.12864991,17.03653187
Krakowska,51.09331098,17.05994281
Adamczewskich,51.12084396,16.86953486
Wyszyńskiego,51.12191852,17.05294165
ZACHODNIA (Stacja kolejowa),51.11639769,17.00040918
ZOO,51.10561429,17.07741786
Gajowa,51.09193397,17.03993818
Volvo - brama II,51.118114,17.111663
Bąków,51.21175702,17.15947424
RUBCZAKA (Stacja kolejowa),51.14330576,16.86637818
Gałowska,51.11323644,16.84509138
Łososiowicka,51.175305,16.88225
Słoneczna,51.05882671,16.97377967
Januszkowice - Wierzbowa,51.22401904,17.23846002
GRABISZYŃSKA (Cmentarz II),51.08811421,16.97565868
Bukowina,51.21076631,17.14012394
PL. GRUNWALDZKI,51.11162051,17.06008642
Małomicka,51.16669837,16.88756114
KUŹNIKI,51.123897,16.950862
Zalewowa,51.09080892,17.13457316
