stop,day_tram_degree,day_tram_clusterring_coefficient,day_tram_closeness,day_tram_betwennesses,day_tram_page_rank,day_tram_weighted_degree,stop,night_tram_degree,night_tram_clusterring_coefficient,night_tram_closeness,night_tram_betwennesses,night_tram_page_rank,night_tram_weighted_degree,stop,night_bus_degree,night_bus_clusterring_coefficient,night_bus_closeness,night_bus_betwennesses,night_bus_page_rank,night_bus_weighted_degree,stop,night_degree,night_clusterring_coefficient,night_closeness,night_betwennesses,night_page_rank,night_weighted_degree,index,day_degree,day_clusterring_coefficient,day_closeness,day_betwennesses,day_page_rank,day_weighted_degree,stop,day_bus_degree,day_bus_clusterring_coefficient,day_bus_closeness,day_bus_betwennesses,day_bus_page_rank,day_bus_weighted_degree
8 Maja,3.0,0.0,0.07163561076604555,0.024936147331630597,0.0076525969966477385,100.75,,,,,,,,8 Maja,2.0,0.0,0.05944328824141519,0.05708312539188965,0.0017737409610151078,4.5,8 Maja,2.0,0.0,0.05944328824141519,0.05708312539188965,0.0017737409610151078,4.5,8 Maja,4,0.0,0.06071302506177197,0.003589896309933129,0.0019020085690563662,132.8125,8 Maja,2.0,0.0,0.05637152049237656,0.013214555430544209,0.0010723831322481871,32.0625
Godebskiego (AWF Wrocław),2.0,0.0,0.06692456479690523,0.011560693641618498,0.007588542167956535,100.75,,,,,,,,Godebskiego (AWF Wrocław),2.0,0.0,0.05648949320148331,0.053277796972372574,0.0015126669423455945,4.0,Godebskiego (AWF Wrocław),2.0,0.0,0.05648949320148331,0.053277796972372574,0.0015126669423455945,4.0,Godebskiego (AWF Wrocław),2,0.0,0.05746742398930839,0.003884993367084495,0.0019770924844508563,132.375,Godebskiego (AWF Wrocław),2.0,0.0,0.05358330009307273,0.012151102754188308,0.001072614783140249,31.625
Stadion Olimpijski,2.0,0.0,0.07253668763102725,0.0016803333781422235,0.006885997861294793,100.625,,,,,,,,Stadion Olimpijski,2.0,0.0,0.06274025260845689,0.060878856514005666,0.0017012045509149963,4.5,Stadion Olimpijski,2.0,0.0,0.06274025260845689,0.060878856514005666,0.0017012045509149963,4.5,Park Szczytnicki,2,0.0,0.063347083087802,0.0,0.0006299105014678715,32.0625,Park Szczytnicki,2.0,0.0,0.05947461629279811,0.014364317309618851,0.0009996495425242647,32.0625
Aleja Architektów,2.0,0.0,0.049827188940092165,0.07810189541605055,0.005537315541768455,103.0,,,,,,,,Adamczewskich,2.0,0.0,0.03734880679960771,0.017390302890705978,0.0020657905626811084,5.0,Adamczewskich,2.0,0.0,0.03734880679960771,0.017390302890705978,0.0020657905626811084,5.0,Stadion Olimpijski,2,0.0,0.061454909246820066,0.00015702412215393778,0.0012736018167495442,100.625,Adamczewskich,3.0,0.00962332532130387,0.04185925733575695,0.042414808193209315,0.001312600216868538,26.375
Glinianki,2.0,0.0,0.05220277610138805,0.0887216023659094,0.005336717991832083,103.0,,,,,,,,Jasińskiej,3.0,0.0,0.03876823888700373,0.02169469077507774,0.0028501860091883937,7.5,Jasińskiej,3.0,0.0,0.03876823888700373,0.02169469077507774,0.0028501860091883937,7.5,Adamczewskich,3,0.006478977858135538,0.04214240211692066,0.04821994206351355,0.0012299377027610132,26.375,Jasińskiej,3.0,0.0,0.04311082584510056,0.04398070372824931,0.0014127232998959749,39.5625
Grabowa,2.0,0.0,0.04763215859030837,0.06734776179594032,0.005663862187582542,103.0,,,,,,,,Kośnego,2.0,0.0,0.0360239634242472,0.01307151906023264,0.0021899457483462326,5.0,Kośnego,2.0,0.0,0.0360239634242472,0.01307151906023264,0.0021899457483462326,5.0,Jasińskiej,3,0.0,0.043447509346266545,0.049738744348485256,0.0013234543023415402,39.5625,Kośnego,3.0,0.00962332532130387,0.04045981627428342,0.01724026324306829,0.0014645806118506455,24.1875
Aleja Pracy,2.0,0.0,0.06367316893632684,0.03179190751445087,0.004701142477927716,72.5,,,,,,,,Adamieckiego,2.0,0.0,0.05499398315282792,0.036119428768858694,0.00093169422772956,1.0,Adamieckiego,2.0,0.0,0.05499398315282792,0.036119428768858694,0.00093169422772956,1.0,Kośnego,3,0.006478977858135538,0.040708132159424405,0.0161653626445028,0.0013724924632794713,24.1875,Adamieckiego,3.0,0.008288880969066756,0.06168209994642994,0.02688839911841314,0.0007741053595518528,22.8125
FAT,5.0,0.0,0.0651355421686747,0.08126092216695793,0.00950244404053341,236.125,,,,,,,,Morelowskiego,2.0,0.0,0.05235422156031619,0.03224212061883374,0.0010218759832775397,1.0,Morelowskiego,2.0,0.0,0.05235422156031619,0.03224212061883374,0.0010218759832775397,1.0,Adamieckiego,3,0.005580552924716905,0.06429425837320574,0.025196956980805152,0.0007061887954375638,22.8125,Morelowskiego,2.0,0.0,0.05822016758162381,0.024471741442288426,0.0008061122385696668,22.8125
Ojca Beyzyma,3.0,0.0,0.0657045195594379,0.023591880629116817,0.005897083699938996,75.75,,,,,,,,Aleja Architektów,2.0,0.0,0.0521213503649635,0.07986870897155361,0.002377210898044227,9.5,Aleja Architektów,2.0,0.0,0.0521213503649635,0.07986870897155361,0.002377210898044227,9.5,Morelowskiego,2,0.0,0.06071302506177197,0.022925521834474917,0.0007422027245613121,22.8125,Wiejska,5.0,0.004642570285342376,0.06552845528455284,0.2034307908080699,0.002110028679310338,83.75
Arkady (Capitol),4.0,0.06120801365385966,0.11096856959589481,0.3062911681677645,0.006128434064586227,214.25,,,,,,,,Glinianki,2.0,0.0,0.05473053892215569,0.08388037928519329,0.002021016815178131,8.5,Glinianki,2.0,0.0,0.05473053892215569,0.08388037928519329,0.002021016815178131,8.5,Wiejska,5,0.0031256461856259696,0.06847678955330838,0.4101239949102526,0.0018579432530874873,83.75,Aleja Pracy,3.0,0.0,0.06809733017911457,0.00643311807407179,0.0017306540822175033,99.1875
