source,target,night_bus,day_bus,day_tram,night_tram,night,day
8 Maja,Godebskiego (AWF Wrocław),3.3333333333333335,14.444444444444445,44.77777777777778,,3.3333333333333335,59.22222222222222
8 Maja,Park Szczytnicki,,14.055555555555555,,,,14.055555555555555
8 Maja,Stadion Olimpijski,2.6666666666666665,,44.77777777777778,,2.6666666666666665,44.77777777777778
Adamczewskich,Jasińskiej,3.3333333333333335,11.722222222222221,,,3.3333333333333335,11.722222222222221
Adamczewskich,Kośnego,3.3333333333333335,11.722222222222221,,,3.3333333333333335,11.722222222222221
Adamieckiego,Morelowskiego,0.6666666666666666,10.0,,,0.6666666666666666,10.0
Adamieckiego,Wiejska,,10.277777777777779,,,,10.277777777777779
Aleja Architektów,Glinianki,7.0,,45.77777777777778,,7.0,45.77777777777778
Aleja Architektów,Grabowa,5.666666666666667,,45.77777777777778,,5.666666666666667,45.77777777777778
Aleja Pracy,FAT,8.333333333333334,44.0,32.333333333333336,,8.333333333333334,76.33333333333333
Aleja Pracy,Inżynierska,4.0,23.444444444444443,,,4.0,23.444444444444443
Aleja Pracy,Ojca Beyzyma,4.333333333333333,20.72222222222222,32.111111111111114,,4.333333333333333,52.833333333333336
Aleja Wędrowców,Ojca Beyzyma,,8.5,,,,8.5
Aleja Wędrowców,Ślusarska,,8.38888888888889,,,,8.38888888888889
Arabska,BIEŃKOWICE,2.6666666666666665,10.777777777777779,,,2.6666666666666665,10.777777777777779
Arabska,Ziemniaczana,2.6666666666666665,10.11111111111111,,,2.6666666666666665,10.11111111111111
Arachidowa,Olbrachtowska,3.3333333333333335,11.666666666666666,,,3.3333333333333335,11.666666666666666
Arachidowa,Wojanowska,2.6666666666666665,11.222222222222221,,,2.6666666666666665,11.222222222222221
Arena,EPI,,12.222222222222221,,,,12.222222222222221
Arkady (Capitol),DWORCOWA,,48.111111111111114,,,,48.111111111111114
Arkady (Capitol),EPI,24.666666666666668,0.4444444444444444,,,24.666666666666668,0.4444444444444444
Arkady (Capitol),GALERIA DOMINIKAŃSKA,,13.88888888888889,,,,13.88888888888889
Arkady (Capitol),Hallera,,0.4444444444444444,,,,0.4444444444444444
Arkady (Capitol),Pl. Hirszfelda,,11.277777777777779,,,,11.277777777777779
Arkady (Capitol),Renoma,24.333333333333332,,80.44444444444444,,24.333333333333332,80.44444444444444
Arkady (Capitol),Rondo,,14.777777777777779,,,,14.777777777777779
Arkady (Capitol),Zaolziańska,,,95.33333333333333,,,95.33333333333333
Arkady (Capitol),pl. Legionów,6.666666666666667,,14.666666666666666,,6.666666666666667,14.666666666666666
Arkady (Capitol),pl. Orląt Lwowskich,4.666666666666667,,,,4.666666666666667,
Arkady (Capitol),Świdnicka,,0.5555555555555556,,,,0.5555555555555556
Armii Krajowej,KRAKOWSKA (Centrum handlowe),4.0,,30.666666666666668,,4.0,30.666666666666668
Armii Krajowej,Park Wschodni,4.0,,30.666666666666668,,4.0,30.666666666666668
Armii Krajowej (Bogedaina),Park Wschodni,,9.222222222222221,,,,9.222222222222221
