stop,lattitude,longitude,zip_code,district
Lubelska,51.16391631,16.91914727,54-101,Fabryczna
KRZYKI,51.07438486,17.00669989,53-015,Krzyki
Rynek,51.111912,17.027184,50-135,Stare Miasto
Zbożowa,51.17352979,16.91215216,54-067,Fabryczna
Na Niskich Łąkach,51.096267700000006,17.05654907,50-438,Krzyki
Damrota,51.12648854,17.0548761,50-304,Śródmieście
Krępicka - szkoła,51.15001334,16.86044907,54-018,Fabryczna
pl. Bema,51.116690999999996,17.041769,50-265,Śródmieście
Marszowicka,51.16316762,16.87851059,54-701,Fabryczna
Główna,51.16290437,16.89572296,54-062,Fabryczna
EPI,51.09818473,17.030473,50-088,Krzyki
Działdowska,51.13315884,17.10579419,51-424,Psie Pole
JANÓWEK (WOŚ),51.19115066,16.90616607,54-067,Fabryczna
C.H. Korona,51.14212427,17.09270855,51-421,Psie Pole
pl. Wróblewskiego,51.10422376,17.04834926,50-529,Krzyki
Volvo,51.120191999999996,17.114745000000003,51-501,Psie Pole
Szczodre - Szkoła,51.19811274,17.18961079,55-095,Szczodre
Wełniana,51.16084087,16.90522914,54-061,Fabryczna
Krynicka,51.07940741,17.05034902,50-555,Krzyki
GRABISZYŃSKA (Cmentarz),51.0896217,16.97666221,53-236,Fabryczna
Małopanewska,51.12390236,16.98681381,54-206,Fabryczna
Bajana,51.13048304,16.966959399999997,54-130,Fabryczna
Blizanowicka,51.07588443,17.09276207,52-020,Krzyki
Wiejska,51.07742462,16.96217924,52-411,Fabryczna
Północna,51.15703175,16.93446028,54-104,Fabryczna
Królewiecka,51.14526428,16.94642908,54-110,Fabryczna
Pustecka,51.13996335,16.85391538,54-007,Fabryczna
GALERIA DOMINIKAŃSKA,51.1089984,17.04117731,50-159,Stare Miasto
Wiśniowa,51.08354909,17.02641602,53-126,Krzyki
Kozia,51.15768909,16.92766461,54-104,Fabryczna
Skarbowców,51.06699853,16.99127638,53-030,Krzyki
Pracze Widawskie,51.17767648,17.01559687,51-180,Psie Pole
Kępa,51.23861834,17.20921822,55-095,Kępa
Bierzyce,51.23578317,17.18376696,55-095,Bierzyce
Budziwojowice,51.22308972,17.18798137,55-095,Budziwojowice
Długołęka - Kościół,51.17287543,17.19360514,55-095,Długołęka
Bielawa,51.15998678,17.25234579,55-093,Bielawa
Borowa - szkoła,51.18917012,17.27915873,55-093,Borowa
Świt,51.06047976,17.02571856,52-223,Krzyki
