stop,lattitude,longitude,zip_code,district,day_weighted_degree
FAT,51.09462771,16.98126206,53-245,Fabryczna,449.0625
Kwiska,51.125275,16.98351443,53-671,Fabryczna,440.0
Nowy Dwór,51.11258728,16.95992956,54-434,Fabryczna,294.0625
Nowodworska,51.11385803,16.96471814,54-432,Fabryczna,276.8125
GRABISZYŃSKA (Cmentarz),51.0896217,16.97666221,53-236,Fabryczna,262.5625
Niedźwiedzia,51.12169768,16.99334357,54-234,Fabryczna,262.25
Wejherowska,51.12945152,16.98664037,54-236,Fabryczna,246.875
Kolista,51.13273709,16.97388104,54-150,Fabryczna,240.9375
Małopanewska,51.12390236,16.98681381,54-206,Fabryczna,237.5
Rogowska,51.11037655,16.95594481,54-432,Fabryczna,225.625
Metalowców,51.132431200000006,16.95777519,54-132,Fabryczna,219.625
Fiołkowa,51.09210593,16.97749101,50-001,Fabryczna,217.0
Górnicza,51.13990212,16.95941433,54-144,Fabryczna,206.0625
PILCZYCE,51.13642902,16.95050781,54-132,Fabryczna,201.625
Stalowa,51.09966578,17.00165187,53-434,Fabryczna,194.375
Hutmen,51.09589673,16.98576959,53-235,Fabryczna,193.6875
pl. Srebrny,51.098488,16.996146,53-439,Fabryczna,193.6875
Bzowa (Centrum Zajezdnia),51.09750864,16.99130994,53-503,Fabryczna,193.6875
Modra,51.13773561,16.964883899999997,54-150,Fabryczna,191.125
Gajowicka,51.08844534,17.00546435,53-325,Fabryczna,190.75
Park Zachodni,51.12932561,16.97212112,54-154,Fabryczna,189.9375
DH Astra,51.12842183,16.97567097,54-130,Fabryczna,189.9375
Bajana,51.13048304,16.966959399999997,54-130,Fabryczna,178.5625
Na Ostatnim Groszu,51.12255316,16.97483996,54-130,Fabryczna,172.5625
Aleja Pracy,51.09138458,16.98670185,53-212,Fabryczna,171.6875
Wrocławski Park Przemysłowy,51.11256668,16.99423154,52-007,Fabryczna,170.875
Otyńska,51.112448,16.977959,54-426,Fabryczna,170.5
Dolnośląska Szkoła Wyższa,51.112237,16.989922,53-609,Fabryczna,170.5
Centrum Zarządzania Kryzysowego,51.11462919,16.97229761,54-430,Fabryczna,170.5
Fabryczna,51.112386,16.983487,53-611,Fabryczna,170.125
STADION WROCŁAW (Królewiecka),51.14356746,16.94996015,51,Fabryczna,167.125
Pereca,51.1010779,17.00743968,53-439,Fabryczna,157.375
Dworska,51.14360639,16.95344812,54-144,Fabryczna,155.0
Rysia,51.12791017,16.99059109,54-236,Fabryczna,145.625
GRABISZYŃSKA (Cmentarz II),51.08811421,16.97565868,51,Fabryczna,141.4375
Kołobrzeska,51.12103055,16.94541342,54-438,Fabryczna,140.5
LEŚNICA,51.14465236,16.87170532,54-071,Fabryczna,136.5
Jeleniogórska,51.14519161,16.87842822,54-126,Fabryczna,135.0
Szkocka,51.11014182,16.9688408,54-424,Fabryczna,134.5
Bystrzycka,51.12405663,16.95807128,54-129,Fabryczna,130.5
Wschowska,51.14486325,16.88184695,54-042,Fabryczna,129.25
Kosmonautów (Szpital),51.14173546,16.90608263,54-126,Fabryczna,128.75
Złotnicka,51.14410083,16.88886439,54-042,Fabryczna,128.75
Maślice Małe (Brodnicka),51.15293057,16.94011137,54-104,Fabryczna,126.0
Popowice,51.12604304,16.99669307,54-238,Fabryczna,125.875
Maślicka (Staw),51.156132,16.935817999999998,54-104,Fabryczna,125.25
Hala Orbita,51.1323514,16.989439100000002,51,Fabryczna,123.5625
Ojca Beyzyma,51.090369,16.99331873,53-201,Fabryczna,122.25
OPORÓW,51.08413312,16.97203013,53-503,Fabryczna,117.9375
ROD Tysiąclecia,51.11161607,16.95219543,54-440,Fabryczna,117.5625
Zemska,51.11539031,16.94736664,54-440,Fabryczna,117.5625
Grabowa,51.13978497,16.92227466,52-007,Fabryczna,115.625
Brodzka,51.15757459,16.92406355,54-104,Fabryczna,114.0
KUŹNIKI,51.123897,16.950862,54-316,Fabryczna,113.375
Wrocławski Park Technologiczny,51.10506383,16.97074816,54-413,Fabryczna,112.6875
ROD Oświata,51.10097911,16.97279839,54-411,Fabryczna,112.25
Drzewieckiego,51.12158052,16.96790892,54-130,Fabryczna,109.25
Hynka,51.12246208,16.96215449,54-129,Fabryczna,109.25
Orlińskiego,51.12212052,16.97192044,54-130,Fabryczna,109.25
KOZANÓW,51.13747754,16.96830831,54-151,Fabryczna,108.6875
MIŃSKA (Rondo Rotm. Pileckiego),51.10530939,16.94892826,54-610,Fabryczna,108.4375
