stop,lattitude,longitude,zip_code,district,day_weighted_degree
DWORZEC AUTOBUSOWY,51.09712267,17.03264418,50-088,Krzyki,476.1875
Hallera,51.08681537,17.01291053,53-138,Krzyki,403.5625
Rondo,51.09069023,17.01712401,53-333,Krzyki,309.8125
Bardzka,51.08277944,17.05080816,53-041,Krzyki,278.5
Urząd Wojewódzki,51.10852219,17.05022,50-408,Krzyki,273.4375
Kamienna,51.08499038,17.047973000000002,50-545,Krzyki,253.0625
Wielka,51.09422402,17.02153104,53-333,Krzyki,214.5
Zaolziańska,51.09776568,17.02568771,53-333,Krzyki,214.25
Sztabowa,51.08806244,17.0143858,53-315,Krzyki,214.25
Morwowa,51.07654639,17.05317017,50-001,Krzyki,210.25
Prudnicka,51.08920284,17.04505116,50-505,Krzyki,197.0625
Orla,51.08010376,17.00802948,53-332,Krzyki,196.625
Krucza,51.09215593,17.00848546,53-407,Krzyki,186.5625
KRZYKI,51.07438486,17.00669989,53-015,Krzyki,185.9375
Poczta Główna,51.1078565,17.04563742,50-529,Krzyki,164.375
Jastrzębia,51.08463583,17.01120749,53-332,Krzyki,161.5
Krynicka,51.07940741,17.05034902,50-555,Krzyki,155.5
Borowska,51.08806677,17.036473899999994,50-531,Krzyki,152.625
Świeradowska,51.07715188,17.04626183,50-555,Krzyki,146.25
Uniwersytet Ekonomiczny,51.08976803,17.02673179,50-545,Krzyki,143.75
ROD Bajki,51.08389472,17.03529441,50-552,Krzyki,143.5
Karwińska,51.08194356,17.07696045,52-015,Krzyki,139.0625
Śliczna,51.08508643,17.03498376,50-551,Krzyki,137.6875
Na Niskich Łąkach,51.09626770000001,17.05654907,50-438,Krzyki,133.75
Transbud,51.08367681,17.060203899999998,50-512,Krzyki,132.875
Wiśniowa,51.08354909,17.02641602,53-126,Krzyki,126.875
Działkowa,51.07775343,17.03382848,50-559,Krzyki,121.5
Zaporoska,51.09653975,17.01452167,53-445,Krzyki,121.375
KLECINA,51.06566863,16.98735013,53-030,Krzyki,113.1875
Park Wschodni,51.08488586,17.07219405,50-001,Krzyki,112.8125
Klimasa,51.08000344,17.06255176,50-515,Krzyki,111.8125
GAJ,51.07690057,17.04193165,50-559,Krzyki,110.5
Gajowa,51.09193397,17.03993818,50-525,Krzyki,106.25
Joannitów,51.09337724,17.03611766,50-525,Krzyki,106.125
Przyjaźni,51.06973483,17.00400882,53-018,Krzyki,104.875
TARNOGAJ,51.07779233,17.06466995,50-513,Krzyki,102.5625
pl. Wróblewskiego,51.10422376,17.04834926,50-529,Krzyki,101.375
Weigla (Szpital),51.07644893,17.01767649,53-110,Krzyki,99.5
Jaworowa,51.0817118,17.02315206,53-111,Krzyki,99.5
Pułtuska,51.0745575,17.01644371,53-112,Krzyki,99.375
Krasińskiego,51.10585896,17.04334082,50-450,Krzyki,97.75
Dyrekcyjna,51.09430136,17.03222909,50-525,Krzyki,95.25
BARDZKA (Cmentarz),51.07326554,17.05329449,50-516,Krzyki,93.0
Krakowska,51.09331098,17.05994281,50-438,Krzyki,92.5
EPI,51.09818473,17.030473,50-088,Krzyki,91.75
KRAKOWSKA (Centrum handlowe),51.09003448,17.06483268,50-438,Krzyki,91.75
Hubska (Dawida),51.093049,17.042897,50-505,Krzyki,90.9375
Sudecka,51.08566549,17.01660936,53-128,Krzyki,90.8125
Buforowa-Rondo,51.07045608,17.053957500000006,52-231,Krzyki,90.375
Chińska,51.06042994,17.08323143,55-010,Krzyki,83.6875
Sanocka,51.09328159,17.03023264,53-301,Krzyki,83.25
Kościelna,51.06286242,16.983408999999998,52-314,Krzyki,82.875
