stop,lattitude,longitude,zip_code,district,day_weighted_degree
Kamieńskiego,51.14074745,17.03213386,51-112,Psie Pole,635.6875
Kępińska,51.1442051,17.03107522,51-130,Psie Pole,378.25
KROMERA,51.13222406,17.06514893,51-163,Psie Pole,360.0625
Broniewskiego,51.1353023,17.03633491,51-118,Psie Pole,350.0
Bałtycka,51.13758660000001,17.03060944,51-120,Psie Pole,346.6875
Wołowska,51.14842308,17.03022762,51-130,Psie Pole,288.625
Psie Pole (Rondo Lotników Polskich),51.14714,17.114363,51-310,Psie Pole,287.3125
C.H. Korona,51.14212427,17.09270855,51-421,Psie Pole,266.75
Kasprowicza,51.137338,17.052893,51-160,Psie Pole,238.125
Brücknera,51.13916827,17.08080603,51-165,Psie Pole,235.6875
POŚWIĘTNE,51.15066735,17.02895604,51-131,Psie Pole,233.8125
Psie Pole,51.145827,17.111563,51-310,Psie Pole,216.4375
pl. Daniłowskiego,51.13852292,17.05908537,51-146,Psie Pole,208.0
Kwidzyńska,51.13161876,17.07947189,51-430,Psie Pole,194.3125
Trzebnicka,51.12864991,17.03653187,50-229,Psie Pole,192.8125
Wallenroda,51.15496665,17.11912776,54-436,Psie Pole,166.75
Berenta,51.134583,17.059260000000002,51-160,Psie Pole,165.4375
Kleczkowska,51.12728381,17.02758415,50-225,Psie Pole,163.1875
Kromera (Czajkowskiego),51.13557581,17.06907505,51-163,Psie Pole,144.8125
Bezpieczna,51.14300155,17.02524948,51-114,Psie Pole,142.6875
Pola,51.13671695,17.04317468,51-137,Psie Pole,134.9375
Żmudzka,51.14545800000001,17.142077,51-315,Psie Pole,129.5
Czajkowskiego,51.13916433,17.06510721,51-171,Psie Pole,128.0
Przybyszewskiego,51.14011673,17.06296696,51-171,Psie Pole,128.0
Zakrzowska,51.15203011,17.11656448,51-318,Psie Pole,125.125
most Milenijny,51.13651152,16.99927273,51-008,Psie Pole,123.125
Kominiarska,51.169905,16.997678,51-180,Psie Pole,115.0
Zielna,51.14511355,17.1072601,51-310,Psie Pole,112.5625
Obornicka (Obwodnica),51.15794943,17.00999289,51-113,Psie Pole,112.0
Kopańskiego,51.15453338,17.11896705,51-662,Psie Pole,111.125
Jutrosińska,51.14636193,17.04188263,51-124,Psie Pole,105.625
Grudziądzka,51.13794927,17.07506203,51-165,Psie Pole,104.375
Kamieńskiego (Szpital),51.148294,17.042744,51-124,Psie Pole,92.375
Łużycka,51.13623008,17.0164017,51-111,Psie Pole,91.8125
Inflancka,51.14235835,17.13041532,51-354,Psie Pole,89.5
Królewska,51.15558313,17.12901857,51-206,Psie Pole,88.375
Kowieńska,51.14293436,17.13440983,51-351,Psie Pole,87.5
Różanka,51.13939941,17.02111603,51-112,Psie Pole,83.625
Paprotna,51.14775215,17.02053929,51-114,Psie Pole,83.3125
Ostowa,51.16219634,17.00336693,51-180,Psie Pole,81.25
OSOBOWICE (Stacja kolejowa),51.16545752,16.99899845,51-180,Psie Pole,81.25
Kominiarska (plac sportowy),51.17507239,17.01135744,51-180,Psie Pole,80.75
Lawendowa,51.169722,17.000487,51-180,Psie Pole,80.75
Grawerska,51.1766014,17.0181999,51-180,Psie Pole,80.75
Rzemieślnicza,51.1714458,17.004703600000006,51-180,Psie Pole,80.75
most Osobowicki,51.13315338,17.02642077,51-004,Psie Pole,80.5
Kiełczowska,51.14552316,17.13706342,51-315,Psie Pole,79.875
Rondo Obrońców Grodna,51.16475786,17.02767914,51-180,Psie Pole,79.25
Poleska,51.14653016,17.12905109,51-315,Psie Pole,79.0
Irysowa,51.1506472,17.01789533,51-114,Psie Pole,78.5625
Lekarska,51.16043099,17.02736557,51-129,Psie Pole,77.0
Zajezdnia Obornicka,51.14873744,17.02106859,51-114,Psie Pole,76.125
KIEŁCZOWSKA (LZN),51.14658034,17.12473187,51-315,Psie Pole,72.75
KOSZAROWA (Szpital),51.14166296,17.06477615,51-148,Psie Pole,69.25
Mochnackiego,51.14228775,17.03675168,51-124,Psie Pole,68.125
LIPA PIOTROWSKA,51.17274893,16.99508019,51-180,Psie Pole,68.0
Gąsiorowskiego,51.14385496,17.03975428,51-124,Psie Pole,66.25
Koszarowa,51.14030866,17.07010305,51-168,Psie Pole,64.5625
Żmigrodzka (Obwodnica),51.15433667,17.02810627,51-131,Psie Pole,64.375
MULICKA,51.14506,17.116839000000002,51-314,Psie Pole,63.5625
Milicka,51.152347,17.043469,51-124,Psie Pole,63.0
Ługowa,51.15877896,17.04443946,51-126,Psie Pole,63.0
Kątowa,51.15619424,17.04438343,51-124,Psie Pole,63.0
OSOBOWICKA (Cmentarz),51.13545586,17.004256299999998,51-110,Psie Pole,61.375
OSOBOWICKA (Cmentarz II),51.13453676,17.01095511,51-004,Psie Pole,61.3125
Polanowicka,51.17006287,17.02366992,51-180,Psie Pole,59.75
Serbska (C.K. Agora),51.1338962,17.0196455,51-110,Psie Pole,54.6875
Gorlicka,51.1438095,17.11937899,51-314,Psie Pole,51.5625
Swojczyce,51.1145818,17.12881622,51-502,Psie Pole,50.6875
Monopolowa,51.11538529,17.11163429,51-501,Psie Pole,49.625
Kolumba,51.11410084,17.11707984,51-501,Psie Pole,47.8125
Waniliowa,51.178347,16.999972,51-100,Psie Pole,47.125
Cynamonowa,51.17602669,16.998303399999998,50-001,Psie Pole,47.125
Tymiankowa,51.17578884,16.99366911,51-180,Psie Pole,47.125
Magellana,51.11355453,17.12133497,51-501,Psie Pole,47.0
Szewczenki,51.14178408,17.12546921,51-354,Psie Pole,45.5
OSIEDLE SOBIESKIEGO,51.15902626,17.1324327,51-200,Psie Pole,44.0625
Kętrzyńska,51.13087796,17.07448225,50,Psie Pole,43.75
Gęsia,51.13184923,17.08816611,51-415,Psie Pole,43.75
Bociania,51.12973225,17.09805406,51-416,Psie Pole,43.75
Sołtysowicka,51.14245178,17.07091309,51-168,Psie Pole,43.0625
Redycka,51.1486843,17.075569899999998,51-168,Psie Pole,43.0625
Poprzeczna,51.1466086,17.07419874,51-168,Psie Pole,43.0625
Bagatela,51.15276265,17.06938922,51-169,Psie Pole,43.0625
Psie Pole (Gorlicka),51.14583876,17.11371681,51-314,Psie Pole,40.125
LITEWSKA,51.14232537,17.127874,51-354,Psie Pole,38.5
POLANOWICE,51.16226577,17.04579925,51-180,Psie Pole,36.3125
Mikołowska,51.11175155,17.136499399999998,51-515,Psie Pole,36.1875
Zagrodnicza,51.10673046,17.14323522,51-511,Psie Pole,36.1875
Kmieca,51.1052327,17.14574034,51-514,Psie Pole,36.1875
Wojnów,51.09712203,17.16404547,51-511,Psie Pole,36.1875
Smocza,51.10335599,17.15474216,51-511,Psie Pole,35.625
Niedziałkowskiego,51.109811,17.137981,51-506,Psie Pole,35.625
Strumykowa,51.10140931,17.15771109,51-518,Psie Pole,35.625
PSIE POLE (Stacja kolejowa),51.150580100000006,17.12055034,51-317,Psie Pole,33.25
Przedwiośnie (Stacja kolejowa),51.16042707,17.12241711,51-216,Psie Pole,32.4375
KOSZAROWA (Uniwersytet),51.14049516,17.06847989,51-149,Psie Pole,26.5
Jarocińska,51.14192034,16.99060405,51-001,Psie Pole,26.375
Lipska,51.14507171,16.98734081,51-003,Psie Pole,26.25
OSOBOWICE,51.13747777,16.99365991,51-008,Psie Pole,26.125
Kiełczowska (Cmentarz),51.14534175,17.14802053,51-315,Psie Pole,25.5
KMINKOWA,51.179699,17.006034,51-180,Psie Pole,23.5625
Piwnika - Ponurego,51.14950542,17.11105232,51-321,Psie Pole,23.125
Białych Goździków,51.15680321,17.10094742,51-376,Psie Pole,23.125
ROD Źródło Zdrowia,51.15068559,17.10857941,51-376,Psie Pole,23.125
ROD Pod Dębem,51.15370502,17.10444537,51-376,Psie Pole,23.0
Palacha,51.14049945,17.12631935,51-350,Psie Pole,22.875
Słonimskiego,51.130614,17.045078,50-304,Psie Pole,22.5
Zakładowa,51.12991454,17.03836452,50-304,Psie Pole,22.375
Poświęcka,51.1565148,17.03409307,51-128,Psie Pole,21.875
KOWALE,51.12781419,17.10219214,51-416,Psie Pole,21.875
SOŁTYSOWICE,51.15517037,17.06442221,51-169,Psie Pole,21.5
Pęgowska,51.196291,16.978707,51-180,Psie Pole,21.25
Zajączkowska,51.189116,16.978889000000002,51-180,Psie Pole,21.25
Perzowa,51.1772366,16.99088974,51-180,Psie Pole,21.0625
Olsztyńska,51.13938597,17.0951032,51-423,Psie Pole,20.0625
Dobroszycka,51.15145539,17.1282492,51-317,Psie Pole,20.0
Widawa,51.17530737,17.02277559,51-180,Psie Pole,19.375
