stop,lattitude,longitude,zip_code,district,day_weighted_degree
PL. JANA PAWŁA II,51.11213444,17.02222942,50-043,Stare Miasto,728.375
GALERIA DOMINIKAŃSKA,51.1089984,17.04117731,50-159,Stare Miasto,582.5
Rynek,51.111912,17.027184,50-135,Stare Miasto,479.875
DWORZEC GŁÓWNY,51.09918778,17.03433441,50-018,Stare Miasto,471.0
Młodych Techników,51.11303378,17.01259791,53-671,Stare Miasto,408.0
Arkady (Capitol),51.1020902,17.02946781,50-028,Stare Miasto,386.3125
Opera,51.10563587,17.03185662,50-051,Stare Miasto,377.625
Wzgórze Partyzantów,51.10378692,17.03849027,50-438,Stare Miasto,352.0625
pl. Legionów,51.10416471,17.02010903,53-501,Stare Miasto,345.75
pl. Strzegomski (Muzeum Współczesne),51.11323868,17.00788625,53-671,Stare Miasto,324.625
Świdnicka,51.10744994,17.03195223,50-066,Stare Miasto,303.625
pl. Orląt Lwowskich,51.10686141,17.02125589,50-048,Stare Miasto,295.4375
Renoma,51.10374952,17.03063782,50-029,Stare Miasto,285.75
Narodowe Forum Muzyki,51.107899,17.026294,50-043,Stare Miasto,252.875
DWORCOWA,51.10027773,17.03920149,50-456,Stare Miasto,244.125
ZACHODNIA (Stacja kolejowa),51.11639769,17.00040918,53-671,Stare Miasto,237.5
Zamkowa,51.10758946,17.02995215,50-438,Stare Miasto,233.5
Szczepin,51.11763769,17.00648374,53-631,Stare Miasto,216.0
Park Staromiejski,51.10512525,17.03689849,50-055,Stare Miasto,210.875
Inowrocławska,51.11543774,17.01528869,53-643,Stare Miasto,196.375
POPOWICE (Stacja kolejowa),51.125678,17.001904,53-633,Stare Miasto,194.625
Grabiszyńska,51.10209878,17.01244095,53-504,Stare Miasto,189.0
Śrubowa,51.11128156,17.00302028,53-608,Stare Miasto,170.5
Strzegomska (Muzeum Współczesne),51.112458,17.005204,53-680,Stare Miasto,161.1875
pl. Nowy Targ,51.11038706,17.03915952,50-438,Stare Miasto,151.875
Hala Targowa,51.11266094,17.03941049,50-158,Stare Miasto,151.875
Dworzec Główny (Stawowa),51.09941,17.033499,50-023,Stare Miasto,144.125
ŚWIDNICKA (Dom Europy),51.10681212,17.03341338,50-052,Stare Miasto,139.0
Kolejowa,51.103125,17.016701,53-508,Stare Miasto,131.25
Ścinawska,51.118848,17.007613,53-631,Stare Miasto,125.875
Piłsudskiego,51.10182174,17.02475991,53-531,Stare Miasto,113.0625
Pl. SOLIDARNOŚCI,51.11370605,17.01752428,52-007,Stare Miasto,103.0
Uniwersytet Wrocławski,51.113719,17.03226,50-115,Stare Miasto,100.75
Wita Stwosza,51.11073822,17.03497352,50-139,Stare Miasto,99.75
Uniwersytecka,51.11263202,17.03585352,50-139,Stare Miasto,99.75
Oławska,51.10863478,17.03398723,50-438,Stare Miasto,99.75
LITOMSKA (ZUS),51.11990865,17.01013739,53-632,Stare Miasto,98.0
DW. ŚWIEBODZKI,51.10832,17.017020000000002,53-607,Stare Miasto,94.375
Robotnicza,51.10956766,17.00828923,53-607,Stare Miasto,83.0
Długa,51.11908357,17.01528336,53-657,Stare Miasto,55.3125
Głogowska,51.11742624,17.00353097,53-622,Stare Miasto,24.75
